Name of project;К.НУА.1;К.НУА.2;К.НУА.3;К.МУА.1;К.ЭТУА.1;Эксперт;Итог
Цифровизация проектной деятельности;s;s;ss;g;g;1;66
3D моделирование объектов капитального строительства по материалам лазерного сканирования;sg;s;vg;eg;vg;1;82
анализ рынка и выработка собственных приложений технологии блокчейн для нужд компании Jincor;sg;sg;eg;sg;sg;1;75
разработка модуля статистической отчетности приемной компании ВУЗа;vg;vg;eg;eg;eg;1;96
ТЗ и КИС для производственного предприятия;g;g;eg;eg;vg;1;88
Цифровизация проектной деятельности;g;ss;g;ss;g;2;65
3D моделирование объектов капитального строительства по материалам лазерного сканирования;ss;ss;g;g;eg;2;70
анализ рынка и выработка собственных приложений технологии блокчейн для нужд компании Jincor;g;g;g;g;g;2;75
разработка модуля статистической отчетности приемной компании ВУЗа;ss;ss;eg;g;eg;2;75
ТЗ и КИС для производственного предприятия;ss;ss;g;eg;g;2;70
Цифровизация проектной деятельности;ss;ss;sb;ss;s;3;47
3D моделирование объектов капитального строительства по материалам лазерного сканирования;ss;ss;vg;s;g;3;65
исследование методов оптимизации бизнес-процессов обращений граждан;ss;s;g;g;s;3;63
анализ рынка и выработка собственных приложений технологии блокчейн для нужд компании Jincor;ss;ss;s;ss;g;3;55
разработка автоматизированной информационной и диагностической системы для функциоанльных узлов АСУ ТП;ss;ss;ss;ss;ss;3;47
разработка иновационных сооружений защищенного грунта для выращивания растений методом аэропоник;sb;sb;ss;s;ss;3;47
разработка модуля статистической отчетности приемной компании ВУЗа;ss;g;vg;s;sg;3;68
ТЗ и КИС для производственного предприятия;ss;s;g;s;g;3;64
разработка экологически чистого способа обеззараживания зерна и устройств для его осуществления;ss;sb;ss;ss;s;3;47
разработка электронного справочника для поддержка процесса обучения студентов;ss;sb;sb;ss;ss;3;45
расчетное обоснование конструкции нейтронного конвертера;sg;s;sg;ss;s;3;62
создание компактного модуля (GribBox) для выращивания грибов в домашних условиях;s;s;ss;g;s;3;59
устройство для нанесения токоведущих линий на подложки для монтажа по толстопленочной технологии;s;s;g;sg;g;3;67
Цифровизация проектной деятельности;ss;ss;g;eg;g;4;70
3D моделирование объектов капитального строительства по материалам лазерного сканирования;vg;g;eg;eg;g;4;88
анализ рынка и выработка собственных приложений технологии блокчейн для нужд компании Jincor;g;g;eg;g;g;4;80
разработка автоматизированной информационной и диагностической системы для функциоанльных узлов АСУ ТП;ss;ss;g;eg;ss;4;65
разработка иновационных сооружений защищенного грунта для выращивания растений методом аэропоник;ss;b;b;ss;ss;4;40
разработка модуля статистической отчетности приемной компании ВУЗа;ss;ss;eg;eg;g;4;75
ТЗ и КИС для производственного предприятия;g;g;eg;eg;g;4;85
разработка экологически чистого способа обеззараживания зерна и устройств для его осуществления;ss;ss;g;ss;ss;4;55
разработка электронного справочника для поддержка процесса обучения студентов;ss;ss;g;g;eg;4;70
расчетное обоснование конструкции нейтронного конвертера;g;g;eg;g;g;4;80
создание компактного модуля (GribBox) для выращивания грибов в домашних условиях;ss;ss;g;ss;ss;4;55
устройство для нанесения токоведущих линий на подложки для монтажа по толстопленочной технологии;g;g;g;ss;g;4;70
исследование методов оптимизации бизнес-процессов обращений граждан;g;g;eg;g;g;5;80
разработка автоматизированной информационной и диагностической системы для функциоанльных узлов АСУ ТП;g;g;g;ss;g;5;70
разработка иновационных сооружений защищенного грунта для выращивания растений методом аэропоник;g;g;g;g;ss;5;70
разработка экологически чистого способа обеззараживания зерна и устройств для его осуществления;g;g;g;g;g;5;75
разработка электронного справочника для поддержка процесса обучения студентов;b;ss;g;ss;ss;5;50
расчетное обоснование конструкции нейтронного конвертера;g;vg;eg;g;g;5;83
создание компактного модуля (GribBox) для выращивания грибов в домашних условиях;g;vg;g;vg;g;5;80
устройство для нанесения токоведущих линий на подложки для монтажа по толстопленочной технологии;vg;g;eg;vg;g;5;85
исследование методов оптимизации бизнес-процессов обращений граждан;ss;g;g;g;g;6;70
создание компактного модуля (GribBox) для выращивания грибов в домашних условиях;ss;s;g;g;ss;6;62
